product_id,name,price,category,description,condition,location,payment_Method,contact_info,is_sold,created_at,update_at,photos,seller_id
1,Bamboo Memory Foam Pillow,2007.94,Home,Ergonomically designed pillow with breathable bamboo cover.,new,Myrtle,credit_card,t.user123,false,7/25/2023,6/14/2020,"[{""item"":""http://dummyimage.com/120x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/232x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/234x100.png/ff4444/ffffff""}]",1
2,Adjustable Laptop Desk,5641.82,Office,Portable desk that can be adjusted for sitting or standing.,new,City-Vista,credit_card,name@email.com,true,8/21/2025,3/24/2025,"[{""item"":""http://dummyimage.com/137x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/218x100.png/cc0000/ffffff""}]",2
3,Buffalo Stilton Cheese,5076.33,Food - Cheese,Spicy blue cheese with a hint of buffalo flavor.,new,Murchison,paypal,name@email.com,true,8/26/2024,9/6/2020,"[{""item"":""http://dummyimage.com/137x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/133x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/228x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/181x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/134x100.png/5fa2dd/ffffff""}]",3
4,Spicy Salsa Verde,1726.26,Food - Condiments,"Green salsa with a spicy kick, great for dipping.",new,Myrtle,credit_card,t.user123,false,9/10/2023,7/28/2022,"[{""item"":""http://dummyimage.com/127x100.png/5fa2dd/ffffff""}]",4
5,Pet Training Pads,7638.79,Pets,Absorbent training pads for puppies and kittens.,used,Isabella,cash,name@email.com,true,9/15/2025,8/11/2020,"[{""item"":""http://dummyimage.com/248x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/217x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/190x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/124x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/248x100.png/cc0000/ffffff""},{""item"":""http://dummyimage.com/125x100.png/dddddd/000000""}]",5
6,Vacuum Sealer Machine,3961.48,Kitchen,Seal food and maintain freshness longer.,new,Myrtle,cash,name@email.com,false,6/22/2024,3/14/2020,"[{""item"":""http://dummyimage.com/201x100.png/ff4444/ffffff""}]",6
7,Crispy Onion Rings,8911.39,Food - Frozen Foods,"Frozen onion rings, crispy and ready to bake.",new,Murchison,credit_card,name@email.com,true,1/27/2022,4/8/2024,"[{""item"":""http://dummyimage.com/170x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/156x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/177x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/107x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/122x100.png/5fa2dd/ffffff""}]",7
8,Laundry Detergent,7539.71,Food - Household,Effective laundry detergent for a deep clean.,new,Murchison,credit_card,(555) 123-9876,false,5/30/2023,9/16/2025,"[{""item"":""http://dummyimage.com/250x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/188x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/158x100.png/dddddd/000000""}]",8
9,Sliced Cucumbers,7703.14,Food - Produce,"Freshly sliced cucumbers, great for salads or snacking.",new,Murchison,credit_card,name@email.com,false,7/22/2022,9/13/2021,[],9
10,Men's Waterproof Hiking Boots,3914.66,Footwear,Durable boots designed for outdoor hiking and activities.,new,City-Vista,cash,name@email.com,true,2/22/2025,3/27/2025,"[{""item"":""http://dummyimage.com/119x100.png/5fa2dd/ffffff""},{""item"":""http://dummyimage.com/227x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/229x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/185x100.png/dddddd/000000""}]",10
11,Chocolate Chip Cookie Mix,9338.09,Food - Baking,Everything you need to bake delicious chocolate chip cookies.,used,City-Vista,paypal,name@email.com,false,3/5/2022,4/21/2025,"[{""item"":""http://dummyimage.com/197x100.png/ff4444/ffffff""},{""item"":""http://dummyimage.com/118x100.png/dddddd/000000""},{""item"":""http://dummyimage.com/209x100.png/5fa2dd/ffffff""}]",11
